statistic,wise_w1_mag,sdss_r_mag,sdss_g_mag,sdss_z_mag,true_redshift_gal
count,20397.0,20397.0,20397.0,20397.0,20397.0
null_count,0.0,0.0,0.0,0.0,0.0
mean,21.48874282836914,25.69948959350586,26.826955795288086,23.868257522583008,1.000915765762329
std,2.0895421504974365,2.110517740249634,2.0939292907714844,2.1025807857513428,0.20681849122047424
min,15.252555847167969,17.036865234375,18.199234008789062,16.20404815673828,0.05745021998882294
25%,19.95818328857422,24.337379455566406,25.471405029296875,22.438125610351562,0.8634755611419678
50%,21.369781494140625,25.616539001464844,26.67707061767578,23.790573120117188,1.030771017074585
75%,22.956024169921875,27.039772033691406,28.03553009033203,25.301666259765625,1.171567678451538
max,28.04865264892578,32.80858612060547,34.93761444091797,30.551620483398438,1.299905776977539
